GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
2020;764;1;850;410.0;2;1;1;2;5;5;0;0;1;0;0
2020;690;1;832;347.5;1;1;1;4;6;7;0;0;1;1;1
1979;456;5;456;516.5;2;1;1;3;7;6;0;0;0;0;1
1979;469;3;487;620.5;1;1;1;8;11;6;1;1;0;1;1
2020;732;1;797;0.0;2;2;1;9;4;7;0;0;0;1;1
2020;510;5;608;374.0;1;1;1;1;5;5;0;0;0;0;1
1990;771;1;850;0.0;2;2;1;10;11;6;1;0;1;1;0
1980;437;9;445;0.0;1;1;1;6;4;5;0;0;0;0;1
1998;472;7;473;462.5;2;1;1;1;7;6;1;0;0;1;1
2020;525;2;564;366.5;1;1;1;1;1;1;0;1;1;1;1
1985;559;3;559;0.0;2;1;2;3;6;6;1;0;0;1;0
2020;700;1;781;416.5;1;1;1;6;5;5;0;0;1;1;0
1999;487;3;493;435.5;2;1;1;5;6;7;0;0;0;1;1
2020;521;3;535;416.5;2;1;2;8;5;1;0;0;1;1;0
2020;732;1;781;469.0;1;1;1;5;4;4;0;0;0;1;1
1984;534;6;534;0.0;2;1;1;6;6;7;0;0;1;0;0
2020;637;2;673;0.0;1;1;1;3;5;7;0;0;1;1;1
2020;562;3;569;341.0;2;1;1;1;7;7;0;0;0;0;0
2020;584;2;611;407.5;2;1;2;1;4;2;0;0;1;1;1
1980;368;10;368;0.0;1;2;1;3;7;6;1;0;0;1;0
1983;364;8;364;435.0;1;2;1;9;6;6;0;0;0;1;0
2020;658;1;722;383.5;2;1;2;3;1;6;0;0;0;0;1
1982;523;10;523;0.0;1;1;1;5;6;6;1;0;1;0;0
1994;598;4;597;613.0;1;1;1;3;11;11;1;0;1;0;1
2020;775;1;850;0.0;2;1;1;3;5;5;0;0;0;1;0
1980;549;4;548;505.5;2;2;1;4;7;7;1;0;0;1;1
2020;722;1;797;286.5;2;2;1;8;1;1;0;0;0;0;0
1986;490;7;490;586.5;1;2;2;9;2;6;1;0;1;1;0
2020;732;1;850;333.5;2;1;1;3;1;1;0;0;0;1;0
2020;626;4;690;395.0;1;1;1;1;7;7;0;0;0;0;1
2020;669;2;716;389.5;1;1;1;1;7;7;0;0;0;0;1
2020;407;4;407;318.0;1;1;1;1;5;5;0;0;0;0;1
1981;501;6;502;582.0;1;1;1;2;4;6;1;0;0;0;0
2020;573;2;585;0.0;2;1;1;8;1;1;0;0;1;0;1
2020;700;1;759;0.0;2;1;1;5;5;6;0;0;0;1;0
2020;652;4;668;437.5;1;1;1;1;7;7;0;0;0;0;0
2020;541;4;541;518.5;1;1;1;2;5;7;0;0;1;0;1
2020;471;5;481;442.0;2;1;1;8;5;6;0;0;1;1;1
2020;626;1;684;461.5;2;1;1;3;5;5;0;0;1;0;1
2020;632;1;655;442.0;2;1;1;8;4;4;0;0;0;1;1
1980;479;4;479;569.0;2;1;1;7;6;5;1;0;0;1;0
2020;373;8;373;0.0;1;1;1;8;4;4;0;0;0;0;1
1982;592;1;680;0.0;1;1;1;10;6;6;1;0;0;1;1
2020;430;10;430;331.0;2;3;1;1;6;6;0;0;1;0;0
2020;391;7;391;292.0;1;1;1;4;4;6;0;0;0;1;0
1981;667;1;738;826.0;1;2;1;10;8;8;1;0;1;1;0
1992;641;1;658;0.0;2;3;1;9;11;11;1;0;1;1;1
2007;675;1;770;553.0;1;1;1;1;6;6;1;0;0;0;1
2020;690;1;807;0.0;1;1;1;8;1;1;0;0;1;1;1
2020;700;1;752;0.0;2;3;1;7;6;4;0;0;0;0;0
1982;544;4;552;635.0;2;1;1;9;6;11;1;0;0;1;0
2020;476;4;476;0.0;2;1;1;2;1;4;0;0;0;0;0
2020;594;3;618;424.5;1;1;2;3;6;6;0;0;1;0;1
2020;584;2;618;0.0;1;1;1;10;5;5;0;0;0;0;1
2020;785;1;850;369.5;2;1;1;6;7;7;0;0;0;1;1
1982;652;2;663;659.0;1;1;1;2;4;4;0;0;0;0;0
1981;696;1;700;0.0;2;2;1;10;6;6;1;0;1;0;1
2020;535;6;562;385.5;2;1;1;2;1;4;0;0;0;0;1
1995;609;2;631;584.0;2;1;1;9;6;6;1;0;1;1;0
2000;433;6;433;0.0;2;1;1;3;11;7;0;0;0;1;0
2020;669;1;754;0.0;1;1;1;1;7;7;0;0;1;0;1
1984;577;2;626;0.0;1;1;1;5;6;4;1;0;0;0;1
1985;391;8;404;0.0;1;1;1;8;5;10;0;0;0;1;0
2020;541;4;541;0.0;2;1;1;1;7;7;0;0;1;0;0
1988;506;8;506;0.0;2;1;1;8;6;11;1;0;1;1;0
1983;674;1;703;711.0;2;1;1;10;6;6;1;1;1;1;0
1992;541;1;541;569.0;1;1;1;10;11;1;0;0;1;1;0
2020;562;5;568;0.0;1;1;1;1;7;7;0;0;0;0;1
1981;603;3;628;0.0;1;1;1;5;6;6;1;0;0;0;0
2020;828;1;850;421.0;2;2;1;4;7;7;0;0;0;1;0
1983;467;6;467;598.5;1;1;1;8;8;11;1;0;1;1;1
1992;410;10;420;0.0;2;1;1;8;5;10;1;0;0;1;0
2020;573;4;578;391.5;1;1;1;1;7;7;0;0;1;0;0
1981;674;1;761;0.0;2;1;1;2;8;4;0;1;1;0;0
2020;690;1;843;261.5;2;1;1;6;7;1;0;0;1;0;0
1982;410;8;410;398.0;2;1;3;2;4;4;1;0;0;0;0
1981;641;2;661;0.0;1;1;1;3;6;8;1;0;0;0;0
