GRADUATION_YEAR;SCORE_NEM;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1982;451;606.0;1;1;1;4;10;10;1;0;1;0;1
1991;646;0.0;1;2;1;10;11;12;1;0;1;1;1
1984;538;546.5;1;2;1;4;6;6;1;0;1;1;0
2020;764;324.5;2;1;1;1;4;4;0;0;0;0;0
2020;653;0.0;1;1;1;1;7;7;0;1;1;0;0
2020;584;429.5;2;1;1;4;6;3;0;0;1;1;0
2020;453;400.5;1;1;1;1;5;5;0;0;0;0;1
2020;497;370.0;2;1;1;2;7;7;0;1;1;0;1
2020;474;316.0;1;1;1;1;5;5;0;1;0;0;1
2020;510;407.0;1;1;1;1;7;7;0;0;0;0;1
2020;732;0.0;2;1;2;4;1;4;0;0;1;1;1
2004;430;379.5;1;1;1;8;1;2;0;0;0;0;0
2020;817;0.0;2;1;1;7;5;7;0;0;0;0;1
2020;464;0.0;2;1;1;2;7;7;0;0;0;0;1
1995;717;0.0;2;2;1;10;10;11;1;0;1;1;1
2020;743;238.5;2;1;1;8;4;6;0;0;0;1;0
2020;647;0.0;2;1;1;7;1;4;0;0;0;1;1
1997;738;0.0;2;2;1;10;6;11;1;0;1;1;1
2020;796;373.5;2;1;1;4;5;5;0;0;1;1;1
2020;700;376.0;2;1;1;4;5;5;0;0;1;1;1
1988;380;364.5;1;2;2;8;4;6;0;0;0;1;0
1983;695;0.0;2;2;2;9;6;11;1;0;1;1;1
1986;559;482.0;2;1;4;6;6;11;1;0;1;1;1
1983;624;0.0;2;1;3;7;6;6;0;0;0;0;0
1994;439;0.0;1;1;2;7;7;12;1;1;1;1;0
2020;732;0.0;2;1;2;6;5;5;0;1;0;0;1
1990;426;600.0;1;2;2;6;8;11;1;0;0;1;1
1991;613;551.0;2;1;1;9;11;8;1;0;1;0;1
2020;679;0.0;1;1;1;1;7;7;0;0;0;0;1
1984;449;545.5;1;1;1;1;4;6;1;0;0;0;0
1988;430;0.0;1;1;1;8;11;10;1;0;0;1;0
2006;423;358.0;2;1;1;4;6;6;0;0;0;1;0
2020;647;420.5;2;1;1;2;5;5;0;0;0;0;0
2020;711;401.5;2;1;3;2;4;4;0;0;1;1;1
2020;764;0.0;2;2;1;8;1;1;0;0;0;1;0
2020;497;442.0;1;1;1;4;2;2;0;1;0;0;1
2020;807;357.0;2;1;2;1;7;7;0;0;0;0;0
2020;616;0.0;2;1;1;3;1;1;0;0;0;0;1
1983;364;0.0;1;1;1;8;7;7;0;0;0;0;0
2020;476;329.5;1;1;1;1;5;5;0;0;0;0;1
2020;754;316.5;2;1;1;1;4;4;0;0;1;0;1
1984;570;548.0;2;1;1;8;4;4;0;0;0;1;1
2020;521;211.0;2;1;1;1;5;5;0;0;0;0;1
2019;647;0.0;2;1;2;5;5;5;1;0;0;0;0
2020;605;367.5;1;1;1;1;7;7;0;0;0;0;0
2020;476;339.5;1;1;1;1;7;7;0;0;1;0;1
2014;626;390.0;2;1;1;2;6;7;0;0;0;0;1
1983;732;0.0;2;2;1;9;6;6;1;0;1;0;1
2020;807;339.5;2;1;1;5;7;7;0;0;0;0;0
2020;464;334.0;1;1;1;1;5;5;0;0;0;0;1
2019;517;423.5;2;1;1;3;6;6;0;0;1;0;0
2020;577;0.0;2;1;1;9;1;1;0;0;1;1;1
1990;359;626.5;1;1;1;3;7;4;1;1;1;1;1
1983;389;487.5;1;1;1;9;6;4;1;1;1;0;1
2020;573;350.5;2;1;1;2;5;1;0;0;1;1;1
2020;605;421.0;2;1;1;2;5;5;0;0;0;0;0
1998;535;629.0;1;2;1;3;6;5;1;1;0;1;0
2020;722;0.0;2;1;1;8;7;7;0;0;0;0;0
1987;449;361.0;2;1;1;3;6;6;0;0;1;0;0
2020;598;407.5;1;1;1;5;7;7;0;0;0;0;0
1986;449;485.0;1;2;1;10;11;11;0;0;1;1;0
1987;609;606.5;1;2;1;8;4;4;1;0;0;1;0
1987;405;432.5;1;1;1;6;4;4;0;1;1;0;1
2020;497;0.0;1;1;1;2;7;7;0;1;1;0;1
1983;433;557.5;1;1;1;6;5;5;0;0;1;1;0
2020;569;0.0;2;1;2;4;5;5;0;0;0;0;1
2020;785;437.5;2;1;2;2;4;4;0;0;0;0;1
1989;423;342.5;2;1;3;3;5;5;0;0;1;0;1
2020;599;434.0;2;1;1;6;7;7;0;0;0;1;1
1987;403;420.0;2;1;2;1;4;4;1;0;1;1;0
2000;609;0.0;1;1;1;3;6;4;1;0;1;1;1
2020;562;385.5;2;2;2;9;5;1;0;0;1;0;0
1990;517;363.0;2;1;1;7;11;4;1;0;0;0;0
1993;444;242.0;2;1;1;5;4;4;0;0;0;1;1
1986;559;397.0;2;1;1;5;6;6;0;0;0;0;1
2020;722;0.0;2;1;2;8;5;5;0;0;1;1;0
1997;678;492.5;2;1;1;1;7;7;1;0;1;1;0
1987;717;609.0;1;1;1;5;6;6;1;0;1;0;0
1993;684;150.0;2;2;1;10;6;11;1;0;1;1;1
2020;775;0.0;2;1;1;2;7;7;0;0;1;0;0
1984;474;442.0;1;1;1;6;6;6;0;1;1;1;1
1986;592;422.0;2;1;1;6;7;7;0;0;0;1;0
2020;743;326.0;2;1;2;6;1;1;0;0;0;0;1
1990;571;527.5;2;1;2;2;7;5;1;1;1;0;0
2020;775;367.5;2;2;1;10;4;1;0;0;1;0;1
2020;527;0.0;2;1;1;2;6;6;0;0;1;0;1
2020;658;306.5;2;1;1;4;5;6;0;0;0;1;0
1985;519;535.5;1;1;1;2;6;6;1;1;1;0;1
1984;506;626.5;1;1;1;6;5;5;1;0;0;0;1
1987;771;603.0;1;1;2;6;6;6;1;0;0;1;0
2020;605;0.0;2;1;1;7;7;7;0;0;0;1;0
2000;559;497.5;2;1;1;2;11;11;1;0;1;1;0
1984;743;638.0;1;1;1;10;6;6;1;0;1;1;0
2007;541;477.5;2;1;1;5;5;1;0;0;1;0;1
2000;499;593.0;1;1;1;3;4;4;1;0;0;1;0
1992;517;0.0;2;2;1;9;10;11;1;0;1;0;0
2020;637;295.0;1;1;1;1;5;7;0;0;0;0;1
2020;476;269.0;1;1;1;1;5;5;0;0;0;0;1
1995;421;467.0;2;2;2;10;7;6;1;0;1;1;0
1995;717;0.0;2;2;1;10;6;6;1;0;1;1;0
2020;775;0.0;2;1;1;2;1;1;0;0;0;0;0
2020;594;441.5;1;1;1;1;5;7;0;0;0;0;1
2020;435;232.5;1;1;1;1;7;7;0;1;0;0;1
2020;506;0.0;1;2;1;4;4;4;0;0;1;1;1
1988;544;0.0;1;1;1;1;5;11;1;0;1;0;0
1995;414;417.0;2;1;1;8;11;6;0;0;0;0;0
2020;690;320.0;2;1;1;5;7;1;0;0;0;1;1
1988;539;467.0;2;1;2;4;9;5;0;1;0;0;0
1987;329;382.0;2;1;1;3;1;2;0;0;0;0;1
1988;732;742.0;1;1;1;8;12;11;1;0;1;1;0
2020;541;391.5;1;1;1;1;1;1;0;0;1;0;1
2020;722;398.5;2;1;2;9;7;5;0;0;0;0;0
